"","time_bucket","volatility","model_id","predicted_volatility","stock_id"
"1",0,0.00528565523107701,1,0.00279458552065834,"default_stock_id"
"2",1,0.00303851001035082,1,0.00247770631597132,"default_stock_id"
"3",2,0.00251031515023964,1,0.00273018670462311,"default_stock_id"
"4",3,0.00340286126746164,1,0.00264204502849655,"default_stock_id"
"5",4,0.00250530835890024,1,0.00292150924869208,"default_stock_id"
"6",5,0.00367296987142691,1,NA,"default_stock_id"
"7",6,0.0029618420379635,1,NA,"default_stock_id"
"8",7,0.00293757023391673,1,NA,"default_stock_id"
"9",8,0.00288812373635414,1,NA,"default_stock_id"
"10",9,0.00279172538520865,1,NA,"default_stock_id"
"11",10,0.00294551245894613,1,NA,"default_stock_id"
"12",11,0.00232284447291114,1,NA,"default_stock_id"
"13",12,0.00295808008221703,1,NA,"default_stock_id"
"14",13,0.00213009640854697,1,NA,"default_stock_id"
"15",14,0.00347358246054927,1,NA,"default_stock_id"
"16",15,0.00250875927323535,1,NA,"default_stock_id"
"17",16,0.00246508785539439,1,NA,"default_stock_id"
"18",17,0.00237123958204721,1,NA,"default_stock_id"
"19",18,0.00289403623304854,1,NA,"default_stock_id"
"20",19,0.0024464991691831,1,NA,"default_stock_id"
"21",20,0.00286693509901435,1,NA,"default_stock_id"
"22",0,0.00608524391738717,2,0.00115152322125859,"default_stock_id"
"23",1,0.00119233771052175,2,0.00261174023222611,"default_stock_id"
"24",2,0.00137076064932201,2,0.00252996661841604,"default_stock_id"
"25",3,0.000994081449435025,2,0.00242251313272407,"default_stock_id"
"26",4,0.00170509771748697,2,0.00207733622056029,"default_stock_id"
"27",5,0.000887054842458086,2,NA,"default_stock_id"
"28",6,0.00123265367298764,2,NA,"default_stock_id"
"29",7,0.000717091694821656,2,NA,"default_stock_id"
"30",8,0.00165714858229715,2,NA,"default_stock_id"
"31",9,0.00202680774963829,2,NA,"default_stock_id"
"32",10,0.00139599397512792,2,NA,"default_stock_id"
"33",11,0.0006102630488291,2,NA,"default_stock_id"
"34",12,0.00197623998548629,2,NA,"default_stock_id"
"35",13,0.00119902627021597,2,NA,"default_stock_id"
"36",14,0.00103880001581378,2,NA,"default_stock_id"
"37",15,0.000877087802195767,2,NA,"default_stock_id"
"38",16,0.0014564743135442,2,NA,"default_stock_id"
"39",17,0.00137509031033495,2,NA,"default_stock_id"
"40",18,0.00122002810103279,2,NA,"default_stock_id"
"41",19,0.00161891448640092,2,NA,"default_stock_id"
"42",20,0.00108273939053356,2,NA,"default_stock_id"
"43",0,0.00451846402168478,3,0.00116141943898061,"default_stock_id"
"44",1,0.0014396063445071,3,0.00118876461377097,"default_stock_id"
"45",2,0.00135718513877185,3,0.00118353254628104,"default_stock_id"
"46",3,0.000938930855843032,3,0.00109337253356792,"default_stock_id"
"47",4,0.000850988039465666,3,0.00103552919531695,"default_stock_id"
"48",5,0.00148481670915086,3,NA,"default_stock_id"
"49",6,0.00146006725697177,3,NA,"default_stock_id"
"50",7,0.00189600128121968,3,NA,"default_stock_id"
"51",8,0.0010821562177903,3,NA,"default_stock_id"
"52",9,0.00105659200998753,3,NA,"default_stock_id"
"53",10,0.00175729087963035,3,NA,"default_stock_id"
"54",11,0.00125134601982037,3,NA,"default_stock_id"
"55",12,0.000947135749997408,3,NA,"default_stock_id"
"56",13,0.00149299669151986,3,NA,"default_stock_id"
"57",14,0.00143132079807628,3,NA,"default_stock_id"
"58",15,0.00120232377638763,3,NA,"default_stock_id"
"59",16,0.00133489274342052,3,NA,"default_stock_id"
"60",17,0.00165419078157424,3,NA,"default_stock_id"
"61",18,0.00130968947339377,3,NA,"default_stock_id"
"62",19,0.00125813518973516,3,NA,"default_stock_id"
"63",20,0.00152738493008139,3,NA,"default_stock_id"
"64",0,0.00384919215713354,4,0.00162900251600656,"default_stock_id"
"65",1,0.00183670654522451,4,0.00116766499841154,"default_stock_id"
"66",2,0.000994080587065905,4,0.00211243176985109,"default_stock_id"
"67",3,0.00229098033540637,4,0.00177626277338713,"default_stock_id"
"68",4,0.00243418528162897,4,0.00141410573971811,"default_stock_id"
"69",5,0.00228365463884074,4,NA,"default_stock_id"
"70",6,0.00250873180064362,4,NA,"default_stock_id"
"71",7,0.00162286738944045,4,NA,"default_stock_id"
"72",8,0.00154715403177523,4,NA,"default_stock_id"
"73",9,0.00128343886156529,4,NA,"default_stock_id"
"74",10,0.00134012525169908,4,NA,"default_stock_id"
"75",11,0.00200191075489462,4,NA,"default_stock_id"
"76",12,0.00140919737770571,4,NA,"default_stock_id"
"77",13,0.00180687274657699,4,NA,"default_stock_id"
"78",14,0.00185536437962748,4,NA,"default_stock_id"
"79",15,0.00177338461777128,4,NA,"default_stock_id"
"80",16,0.00181284486206868,4,NA,"default_stock_id"
"81",17,0.00068831521129094,4,NA,"default_stock_id"
"82",18,0.00260491286077941,4,NA,"default_stock_id"
"83",19,0.00130681372202589,4,NA,"default_stock_id"
"84",20,0.00156011514907947,4,NA,"default_stock_id"
"85",0,0.0023311166598904,5,0.00142050641841378,"default_stock_id"
"86",1,0.00114237511179337,5,0.00141223267921523,"default_stock_id"
"87",2,0.00136895003774789,5,0.00126393985354764,"default_stock_id"
"88",3,0.00136827035537044,5,0.0013410543697143,"default_stock_id"
"89",4,0.00237136522098525,5,0.00114272891147907,"default_stock_id"
"90",5,0.000838441182174646,5,NA,"default_stock_id"
"91",6,0.00125754094758462,5,NA,"default_stock_id"
"92",7,0.00066870258065156,5,NA,"default_stock_id"
"93",8,0.00145356680976774,5,NA,"default_stock_id"
"94",9,0.00121579558147962,5,NA,"default_stock_id"
"95",10,0.00153062914927512,5,NA,"default_stock_id"
"96",11,0.000763577744290123,5,NA,"default_stock_id"
"97",12,0.00115680915943835,5,NA,"default_stock_id"
"98",13,0.00110947467530368,5,NA,"default_stock_id"
"99",14,0.00141052226817953,5,NA,"default_stock_id"
"100",15,0.00112687301292508,5,NA,"default_stock_id"
"101",16,0.00205612016235181,5,NA,"default_stock_id"
"102",17,0.00122024101753931,5,NA,"default_stock_id"
"103",18,0.00201915904037983,5,NA,"default_stock_id"
"104",19,0.00123208524310418,5,NA,"default_stock_id"
"105",20,0.00133233933265305,5,NA,"default_stock_id"
"106",0,0.00696794820092145,6,0.0064986701193521,"default_stock_id"
"107",1,0.00570351691160348,6,0.00675604438997558,"default_stock_id"
"108",2,0.004939872938629,6,0.00656893432872917,"default_stock_id"
"109",3,0.00454431280480303,6,0.00577203342802189,"default_stock_id"
"110",4,0.00639359264165275,6,0.00622107334928208,"default_stock_id"
"111",5,0.00445487507991257,6,NA,"default_stock_id"
"112",6,0.00366803660522636,6,NA,"default_stock_id"
"113",7,0.00575600859000096,6,NA,"default_stock_id"
"114",8,0.00636077732120109,6,NA,"default_stock_id"
"115",9,0.00568854681283372,6,NA,"default_stock_id"
"116",10,0.00482948481841375,6,NA,"default_stock_id"
"117",11,0.00430854601358927,6,NA,"default_stock_id"
"118",12,0.0048528895766149,6,NA,"default_stock_id"
"119",13,0.0062559724001249,6,NA,"default_stock_id"
"120",14,0.00506636408990843,6,NA,"default_stock_id"
"121",15,0.00558911065318217,6,NA,"default_stock_id"
"122",16,0.00600388718406407,6,NA,"default_stock_id"
"123",17,0.00474292348186426,6,NA,"default_stock_id"
"124",18,0.00412876528556824,6,NA,"default_stock_id"
"125",19,0.0041564049458745,6,NA,"default_stock_id"
"126",20,0.00633193246836697,6,NA,"default_stock_id"
"127",0,0.0120883748336353,7,0.00522369569256347,"default_stock_id"
"128",1,0.00486490134693346,7,0.0055650009305576,"default_stock_id"
"129",2,0.00564218637911346,7,0.00528676810709506,"default_stock_id"
"130",3,0.00416909856563959,7,0.00585117847980356,"default_stock_id"
"131",4,0.00535593354945626,7,0.00516273549681075,"default_stock_id"
"132",5,0.00498282497527677,7,NA,"default_stock_id"
"133",6,0.00527680745099582,7,NA,"default_stock_id"
"134",7,0.00524759473662113,7,NA,"default_stock_id"
"135",8,0.0053290469450624,7,NA,"default_stock_id"
"136",9,0.00512586574785171,7,NA,"default_stock_id"
"137",10,0.00508709219991786,7,NA,"default_stock_id"
"138",11,0.00575487160368167,7,NA,"default_stock_id"
"139",12,0.00652900035031426,7,NA,"default_stock_id"
"140",13,0.00573757052887953,7,NA,"default_stock_id"
"141",14,0.00500050095865916,7,NA,"default_stock_id"
"142",15,0.00488328729467233,7,NA,"default_stock_id"
"143",16,0.00485966648523849,7,NA,"default_stock_id"
"144",17,0.00578663236125955,7,NA,"default_stock_id"
"145",18,0.00538921214551429,7,NA,"default_stock_id"
"146",19,0.00529815735215733,7,NA,"default_stock_id"
"147",20,0.00490711659772416,7,NA,"default_stock_id"
"148",0,0.00748943374979977,8,0.00362193104716041,"default_stock_id"
"149",1,0.00357806364771971,8,0.00336581230142123,"default_stock_id"
"150",2,0.00423223075279792,8,0.00323866387272775,"default_stock_id"
"151",3,0.0034651433294975,8,0.00316121397022302,"default_stock_id"
"152",4,0.00303085972581497,8,0.00382355731136092,"default_stock_id"
"153",5,0.00408832721243134,8,NA,"default_stock_id"
"154",6,0.00458312410915648,8,NA,"default_stock_id"
"155",7,0.00396455148428913,8,NA,"default_stock_id"
"156",8,0.00350472249293882,8,NA,"default_stock_id"
"157",9,0.00223348008065002,8,NA,"default_stock_id"
"158",10,0.00471505662084935,8,NA,"default_stock_id"
"159",11,0.00313720106733109,8,NA,"default_stock_id"
"160",12,0.0028979691000336,8,NA,"default_stock_id"
"161",13,0.00187483082707347,8,NA,"default_stock_id"
"162",14,0.00309246101745665,8,NA,"default_stock_id"
"163",15,0.00287969865894681,8,NA,"default_stock_id"
"164",16,0.00467407907862297,8,NA,"default_stock_id"
"165",17,0.00391778088059099,8,NA,"default_stock_id"
"166",18,0.00409082068111432,8,NA,"default_stock_id"
"167",19,0.00350851666859367,8,NA,"default_stock_id"
"168",20,0.00278247297500503,8,NA,"default_stock_id"
"169",0,0.00950856682665005,9,0.00165896262135584,"default_stock_id"
"170",1,0.00169141928826285,9,0.00176228226903467,"default_stock_id"
"171",2,0.00202574984159223,9,0.00154730118248905,"default_stock_id"
"172",3,0.00189515966195408,9,0.00168536911874703,"default_stock_id"
"173",4,0.00178691400917773,9,0.00161435369785726,"default_stock_id"
"174",5,0.00174547670639919,9,NA,"default_stock_id"
"175",6,0.00175602142913023,9,NA,"default_stock_id"
